Sensor,Eigenvector_Centrality
LNGMEGIA.CT032.13_Meas1_PRIM,0.1517696489668034
LNGMEGIA.CT055.01_Meas1_PRIM,0.1517696489668034
LNGMEGIA.CT014.01_Meas1_PRIM,0.151769648121424
LNGMEGIA.CT032.12_Meas1_PRIM,0.1517695273481711
LNGMEGIA.CT015.01_Meas1_PRIM,0.1517656142757826
LNGMEGIA.CT026_Meas1_PRIM,0.15176560640984935
LNGMEGIA.CT027_Meas1_PRIM,0.15176515645204225
LNGMEGIA.CT029_Meas1_PRIM,0.15176471384510426
LNGMEGIA.CT028_Meas1_PRIM,0.1517638661760942
LNGMEGIA.CT033.12_Meas1_PRIM,0.151761443045585
LNGMEGIA.CT031.12_Meas1_PRIM,0.15175771774390331
LNGMEGIA.CT030.12_Meas1_PRIM,0.15173123470448938
LNGMEGIA.CT055.02_Meas1_PRIM,0.15171758451276748
LNGMEGIA.CT016.01_Meas1_PRIM,0.15171703187500277
LNGMEGIA.CT017.01_Meas1_PRIM,0.151676468399929
LNGMEGIA.CT018.01_Meas1_PRIM,0.15165093936895588
LNGMEGIA.CT019.01_Meas1_PRIM,0.15161845588178632
LNGMEGIA.CT054.01_Meas1_PRIM,0.15159113587463888
LNGMEGIA.CT056.01_Meas1_PRIM,0.15136653463650948
LNGMEGIA.CT053.01_Meas1_PRIM,0.15134119608538216
LNGMEGIA.CT054.02_Meas1_PRIM,0.15109717825104924
LNGMEGIA.CT008.01_Meas1_PRIM,0.15108494348289178
LNGMEGIA.CT056.02_Meas1_PRIM,0.15107082758041787
LNGMEGIA.CT009.01_Meas1_PRIM,0.15105227523802406
LNGMEGIA.CT010.01_Meas1_PRIM,0.15104843783264257
LNGMEGIA.CT011.01_Meas1_PRIM,0.15103907027753083
LNGMEGIA.CT012.01_Meas1_PRIM,0.1510373928369238
LNGMEGIA.CT013.01_Meas1_PRIM,0.15103699276948468
LNGMEGIA.CT020.01_Meas1_PRIM,0.1510330406195635
LNGMEGIA.CT025.01_Meas1_PRIM,0.15102536387746546
LNGMEGIA.CT021.01_Meas1_PRIM,0.1510235774343886
LNGMEGIA.CT022.01_Meas1_PRIM,0.15101853395919432
LNGMEGIA.CT023.01_Meas1_PRIM,0.15100969574053572
LNGMEGIA.CT024.01_Meas1_PRIM,0.15100706612516276
LNGMEGIA.CT053.02_Meas1_PRIM,0.15088265847480484
LNGMEGIA.CT002.01_Meas1_PRIM,0.15084935593618495
LNGMEGIA.CT007.01_Meas1_PRIM,0.15084417235561923
LNGMEGIA.CT003.01_Meas1_PRIM,0.15084195288816366
LNGMEGIA.CT004.01_Meas1_PRIM,0.15083464824719872
LNGMEGIA.CT006.01_Meas1_PRIM,0.15082856257677996
LNGMEGIA.CT005.01_Meas1_PRIM,0.1508268428431183
LNGMEGIA.CT030.13_Meas1_PRIM,0.14531075436504168
LNGMEGIA.CT033.13_Meas1_PRIM,0.1385303080717232
LNGMEGIA.CT031.13_Meas1_PRIM,0.13217996524498832
LNGMEGIA.CT_TOTALVOL_Meas1_PRIM,0.05785440143927003
